https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1592974800000,2020-06-24 05:00:00,ETHUSDC,247.85,249.0,247.26,248.13,338.08554,83852.3558447,121
1592971200000,2020-06-24 04:00:00,ETHUSDC,245.39,248.23,244.68,247.56,371.59243,91836.1587603,115
1592967600000,2020-06-24 03:00:00,ETHUSDC,245.6,245.6,244.52,245.39,380.39153,93227.7996478,85
1592964000000,2020-06-24 02:00:00,ETHUSDC,243.64,245.94,243.37,245.56,559.24425,136819.8914978,136
1592960400000,2020-06-24 01:00:00,ETHUSDC,243.15,243.72,242.84,243.53,153.12004,37234.1396262,57
1592956800000,2020-06-24 00:00:00,ETHUSDC,243.13,243.74,242.8,243.15,221.63621,53902.9111043,101
1592953200000,2020-06-23 23:00:00,ETHUSDC,242.5,243.19,242.26,243.0,340.10595,82565.3893479,81
1592949600000,2020-06-23 22:00:00,ETHUSDC,244.0,244.0,242.41,242.45,224.26445,54583.1858084,98
1592946000000,2020-06-23 21:00:00,ETHUSDC,243.34,244.09,242.78,244.04,298.77398,72725.8527963,76
1592942400000,2020-06-23 20:00:00,ETHUSDC,243.75,244.35,243.34,243.34,262.46851,64004.789194,85
1592938800000,2020-06-23 19:00:00,ETHUSDC,244.16,244.79,243.8,243.8,526.35491,128578.4072708,118
1592935200000,2020-06-23 18:00:00,ETHUSDC,243.91,244.13,243.49,243.69,218.63606,53277.9531655,101
1592931600000,2020-06-23 17:00:00,ETHUSDC,243.85,243.85,242.59,243.85,348.68414,84851.5208752,117
1592928000000,2020-06-23 16:00:00,ETHUSDC,244.46,244.65,243.3,243.51,2127.62881,518284.7540725,322
1592924400000,2020-06-23 15:00:00,ETHUSDC,242.66,244.29,242.57,244.29,806.72671,196563.8151017,175
1592920800000,2020-06-23 14:00:00,ETHUSDC,242.45,243.65,242.02,242.87,911.11833,221566.927988,180
1592917200000,2020-06-23 13:00:00,ETHUSDC,242.35,242.65,241.34,242.63,464.89022,112573.6358805,182
1592913600000,2020-06-23 12:00:00,ETHUSDC,243.14,244.05,242.7,242.85,261.58983,63651.1365505,115
1592910000000,2020-06-23 11:00:00,ETHUSDC,242.08,243.69,242.08,243.29,259.10312,62880.3029351,90
1592906400000,2020-06-23 10:00:00,ETHUSDC,242.75,242.75,241.96,241.96,183.06714,44371.6690586,52
1592902800000,2020-06-23 09:00:00,ETHUSDC,242.52,243.07,241.82,242.72,778.59483,188871.8765144,156
1592899200000,2020-06-23 08:00:00,ETHUSDC,244.02,244.02,242.15,242.42,599.30431,145744.8588199,196
1592895600000,2020-06-23 07:00:00,ETHUSDC,242.79,244.41,242.54,244.01,745.88563,181602.5507245,300
1592892000000,2020-06-23 06:00:00,ETHUSDC,241.45,242.73,241.37,242.73,622.63399,150742.8816569,72
1592888400000,2020-06-23 05:00:00,ETHUSDC,241.83,242.13,241.4,241.53,199.16217,48147.0844123,74
